coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
8627975,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:ed5fb643-8cb2-4fbc-a39f-c1af9e415434,"2016-03-04 04:20:51"
8627974,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:d4278d3a-66be-4591-9232-91b1c9230811,"2019-12-11 11:03:56"
8627974,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:b26e6961-5cac-4814-b7e4-c93fe0cbae4d,"2016-03-04 04:20:51"
8627967,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:330fac57-e476-40f9-8c29-7b5ebe3dcbf2,"2019-12-11 11:03:56"
8627967,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:0cfb8849-6059-4bc8-96d9-a8f9c9856c40,"2016-03-04 04:20:51"
8627962,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:de8c5318-bc40-42ec-a1c8-1ac8c03251ae,"2019-12-11 11:03:56"
8627962,"original identification",,"not specified",,"Stillingia linearifolia",0,,,,,,,,urn:uuid:6af24c5f-0494-48d0-92ab-f311dcd9c440,"2019-12-11 11:03:56"
8627962,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:57e72202-885b-4216-b8f2-70dc9b62a17e,"2016-03-04 04:20:51"
8627962,"original identification",,undetermined,,"Stillingia linearifolia",0,,,,,,,,urn:uuid:968d884e-3a3e-4540-8f34-225bf9b516e5,"2016-03-04 04:20:51"
8627973,"original identification",,"not specified",,"Quercus engelmanni",0,,,,,,,,urn:uuid:fc0f3acd-5fca-4e89-b503-a156882f97a1,"2019-12-11 11:03:56"
8627973,"original identification",,undetermined,,"Quercus engelmanni",0,,,,,,,,urn:uuid:7fc450a0-4f99-467d-ada2-80acec4ea301,"2016-03-04 04:20:51"
